书名,作者,豆瓣,Goodreads,类,归属场景
College Essay Essentials,Ethan Sawyer,—,—,B,study_abroad
Colour Physics for Industry,Roderick McDonald,—,—,B,textiles
Common Data Set 院校录取数据,各院校官方,—,—,B,learning_planning
Complications(医生的修炼),Atul Gawande,8.6,4.28,A/G,family_doctor
Computer Organization and Design(计算机组成与设计),Patterson & Hennessy,9.2,4.31,A/G,digital_office
"Concrete: Microstructure, Properties, and Materials",Mehta & Monteiro,—,—,B,construction_materials
Construction Project Management,Gould,—,—,B,construction_materials
Consumer Reports 车评方法,—,—,—,B,car_purchase
Contagious(疯传),Jonah Berger,7.6,4.02,G,cross_border;ecommerce_ops;private_domain;seo_growth;short_video
Continuous Delivery,Humble & Farley,—,4.07,G,program_management
Cooking for Geeks,Jeff Potter,—,4.00,G,cooking_recipe
Core Web Vitals 官方文档,Google 官方,—,—,B,seo_growth
Cosmetic Dermatology(化妆品皮肤科学),Leslie Baumann,—,—,B,skincare_beauty
Coulson & Richardson's Chemical Engineering Design,Coulson & Richardson,—,4.35,G,chemical_industry
Cracking the Coding Interview,Gayle McDowell,—,4.33,G,resume_interview
Cracking the PM Interview,McDowell & Bavaro,—,4.0+,G,resume_interview
Cradle to Cradle(从摇篮到摇篮),McDonough & Braungart,—,4.10,G,construction_materials
Cribsheet(育儿真相),Emily Oster,—,4.11,G,family_doctor
Crossing the Chasm(跨越鸿沟),Geoffrey Moore,8.1,4.02,G,cross_border;product_manager
Crucial Conversations(关键对话),Kerry Patterson 等,8.4,4.07,G,dispute_rights;presentation_skills
DNV/ABS 海洋平台规范,DNV / ABS,—,—,B,shipbuilding_marine
DO-178C 机载软件适航标准,—,—,—,B,aerospace
DSM-5 精神障碍诊断与统计手册,APA,—,—,B,family_doctor;mental_wellness
Database Internals,Alex Petrov,—,4.27,G,program_management
Deep Learning(花书),Goodfellow 等,—,4.36,G,prompt_engineering
Deep Work(深度工作),Cal Newport,—,4.16(19万),G,time_productivity
Design Systems(实践指南),Alla Kholmatova,—,4.13(606人),G,ui_ux_review
Design of Reinforced Concrete,McCormac,—,—,B,construction_materials
Designing Data-Intensive Applications(DDIA),Martin Kleppmann,9.7,4.73,A/G,data_analytics;product_manager;program_management;seo_growth
Designing Interfaces(交互设计模式),Jenifer Tidwell,—,3.83(2023人),B,ui_ux_review
Designing Machine Learning Systems,Chip Huyen,—,4.43,G,prompt_engineering
Designing Your Life,Burnett & Evans,—,3.92(列 B),B,career_transition
Difficult Conversations(高难度对话),Douglas Stone 等,—,4.07,G,dispute_rights
Digital Marketing,Dave Chaffey,—,—,B,seo_growth
Dirt 文明的侵蚀,戴维·蒙哥马利,8.5,4.06,A/G,modern_agriculture
Dirt: The Erosion of Civilizations(文明的侵蚀),戴维·蒙哥马利,8.5,4.06(G),,modern_agriculture
Do No Harm(医生的抉择),Henry Marsh,8.2,4.17,G,family_doctor
Domain-Driven Design,Eric Evans,—,4.14,G,program_management
Don't Make Me Think(点石成金),Steve Krug,8.4,4.24,G,ecommerce_ops;product_manager;program_management;seo_growth;ui_ux_review
"Don't Make Me Think, Revisited(点石成金)",Steve Krug,8.4,4.24(3万+),G,ui_ux_review
Drafting Contracts,Tina Stark,—,—,B,contract_review
Dreyer's English,Benjamin Dreyer,—,4.34(7938人),G,writing_polish
Drive(驱动力),Daniel Pink,,3.94(列 B),,child_education
Dynamics of Offshore Structures,James Wilson,—,—,B,shipbuilding_marine
EDA 原理与算法,—,—,—,B,electronics_semiconductor
ETL 数据仓库技术,专著,—,—,B,data_analytics
"Eats, Shoots & Leaves(标点的艺术)",Lynne Truss,—,3.87(10万+),B,writing_polish
Elements of Chemical Reaction Engineering,H. Scott Fogler,—,4.11,G,chemical_industry
Eloquent JavaScript,Marijn Haverbeke,—,4.13,G,program_management
Empowered,Marty Cagan,—,4.20,G,product_manager
English Grammar in Use,Raymond Murphy,—,—,B,language_learning
English Idioms in Use,剑桥,—,—,B,language_learning
English Pronunciation in Use,剑桥,—,—,B,language_learning
Escaping the Build Trap,Melissa Perri,—,4.20,G,product_manager
Essentialism(精要主义),Greg McKeown,—,4.06(13万),G,time_productivity
Essentials of Classic Italian Cooking,Marcella Hazan,—,4.45,G,cooking_recipe
Eurogames,Stewart Woods,—,—,B,board_game
Evaluating Machine Learning Models,Alice Zheng (O'Reilly),—,4.00,G,prompt_engineering
Everybody Writes,Ann Handley,—,4.04,G,seo_growth;writing_polish
FMEA 失效模式与影响分析,—,—,—,B,aerospace
FMEA 潜在失效模式与影响分析,—,—,—,B,machinery
FTA 故障树分析,—,—,—,B,aerospace
FTO自由实施分析实务,—,—,—,B,ip_patent
Face Forward,Kevyn Aucoin,—,4.38,G,skincare_beauty
Fashionopolis(快时尚的代价),Dana Thomas,—,3.89,B,textiles
Fatigue Handbook,Almar-Næss,—,—,B,shipbuilding_marine
Fitzpatrick皮肤病学,费茨帕特里克,—,—,B,skincare_beauty
Flow(心流),Mihaly Csikszentmihalyi,—,4.08(10万),G,time_productivity
Fluent Forever 流利永久,加布里埃尔·怀纳,—,4.07,G,language_learning
Four Thousand Weeks(四千周/时间观),Oliver Burkeman,—,4.21(10万),G,time_productivity;travel_deep;travel_planning
Full Catastrophe Living(多舛的生命·正念减压),Jon Kabat-Zinn,—,4.27,G,sleep_health
Fundamentals of Aerodynamics,J.D. Anderson,—,4.43,G,aerospace
Fundamentals of Power Electronics,Erickson,—,—,B,energy_power
Fundamentals of Software Architecture,Richards & Ford,—,4.05,G,program_management
Fundamentals of Vehicle Dynamics,Thomas D. Gillespie,—,4.29,G,automotive
GA4 官方文档,Google 官方,—,—,B,seo_growth
GB 18401 国家纺织产品基本安全技术规范,国标,—,—,B,textiles
GB 31701 婴幼儿及儿童纺织产品安全规范,国标,—,—,B,textiles
GMAT Official Guide,GMAC 官方,—,—,B,study_abroad
GPS原理与应用,—,—,—,B,aerospace
GRE 3000 核心词汇,陈琦 等,—,—,B,learning_planning
GRE General Test 官方指南,ETS 官方,—,—,B,study_abroad
GRE 官方指南,ETS,—,—,B,language_learning
GRE/SAT 官方指南,ETS/College Board,—,—,B,learning_planning
Gas Turbine Theory,"Cohen, Rogers, Saravanamuttoo",—,4.22,G,aerospace
Getting Past No(突破拒绝),威廉·尤里,—,3.98,B,contract_review;dispute_rights
Getting Things Done(搞定/GTD),David Allen,—,4.00(16.9万),G,time_productivity
Getting to Yes,"Fisher, Ury & Patton",—,4.00,G,car_purchase;contract_review
Give and Take,亚当·格兰特,—,—,B,career_transition
Good Charts(HBR),Scott Berinato,—,—,B,presentation_skills
Goodman & Gilman 治疗学的药理学基础,Brunton 等,—,—,B,pharma_biomfg
Goodman & Gilman 药理学基础,—,—,—,B,chronic_disease
Google EEAT 质量评估指南,Google 官方,—,—,B,seo_growth
Google SEO入门指南,Google 官方,—,—,B,seo_growth
Google 软件测试之道,Whittaker 等,—,—,B,program_management
Google 链接最佳实践/垃圾链接政策,Google 官方,—,—,B,seo_growth
Grit(坚毅),Angela Duckworth,—,4.09,G,child_education
HACCP 与厨房卫生管理,专著,—,—,B,cooking_recipe
HACCP 原理与应用,—,—,—,B,food_processing
HAZOP 分析方法与应用,—,—,—,B,chemical_industry
HELM/MMLU 评测基准文档,Stanford CRFM 等,—,—,B,prompt_engineering
HVAC Systems Design Handbook,专著,—,—,B,construction_materials
Hacking Growth(增长黑客 英文),Sean Ellis,—,4.04,G,private_domain
Handbook of Offshore Engineering,Subrata Chakrabarti,—,—,B,shipbuilding_marine
Handbook of Textile Fibres,J. Gordon Cook,—,—,B,textiles
Hands-On Large Language Models,Alammar & Grootendorst,—,4.50,G,prompt_engineering
Hands-On Machine Learning(2nd),Aurélien Géron,—,4.55,G,prompt_engineering
Hazzard 老年医学,Halter 等,—,—,B,elder_care
High Output Management(格鲁夫给经理人的第一课),安迪·格鲁夫,9.0,4.30,A,startup_advisory
High Performance Browser Networking,Ilya Grigorik,—,—,B,program_management;seo_growth
Hobby Games: The 100 Best,—,—,—,B,board_game
Home Buying Kit For Dummies,Tyson & Brown,—,4.01,G,rent_buy_house
Hooked(上瘾),Nir Eyal,7.8,4.10,G,cross_border;ecommerce_ops;seo_growth;short_video;time_productivity;ui_ux_review
How Buildings Learn,Stewart Brand,—,4.34,G,construction_materials
How Languages are Learned,Lightbown & Spada,—,4.05,B,language_learning
How Not to Die,Michael Greger,—,4.41,G,chronic_disease;cooking_recipe;dining_recommendation
How Not to Die 救命饮食,迈克尔·格雷格,8.3,4.21,G,health_checkup
How to Lie with Statistics(统计数字会撒谎),Darrell Huff,8.1,4.00,G,data_analytics
How to Measure Anything(数据化决策),Douglas Hubbard,—,4.02,G,data_analytics
How to Speak Cat,National Geographic,—,4.1,G,pet_care
How to Take Smart Notes(卡片笔记写作法),Sönke Ahrens,—,4.07(1.4万),G,time_productivity
How to Talk So Kids Will Listen,Faber & Mazlish,—,4.27,G,child_education
How to Win Every Argument(如何反驳每一种论证),Madsen Pirie,—,4.05,G,debate_speech
How to Win Friends and Influence People(人性的弱点),,8.4,4.22,,debate_speech
How to Win Friends(人性的弱点),戴尔·卡耐基,8.4,4.22,G,debate_speech
Human Compatible,Stuart Russell,—,4.13,G,prompt_engineering
Human Interface Guidelines,Apple,—,—,B,ui_ux_review
IACS 共同结构规范(CSR),IACS,—,—,B,shipbuilding_marine
IACS 统一要求(UR),IACS,—,—,B,shipbuilding_marine
IATA 行李与中转规则手册,IATA,—,—,B,travel_planning
ICH Q7-Q12 指南,ICH,—,—,B,pharma_biomfg
ICH 指导原则全集,ICH,—,—,B,pharma_biomfg
IELTS 剑桥真题,Cambridge 官方,—,—,B,study_abroad
IMO GHG 脱碳战略(绿色船舶),IMO,—,—,B,shipbuilding_marine
IMO Load Lines/Tonnage 公约,IMO,—,—,B,shipbuilding_marine
IMO MARPOL 公约,IMO,—,—,B,shipbuilding_marine
IMO SOLAS 公约,IMO,—,—,B,shipbuilding_marine
INCI 国际化妆品原料命名手册,—,—,—,B,skincare_beauty
INCOTERMS 2020 解读,ICC,—,—,B,cross_border
ISM/ISPS 规则,IMO,—,—,B,shipbuilding_marine
ISO 105 色牢度系列标准,ISO,—,—,B,textiles
ISO 14001 环境管理体系,—,—,—,B,chemical_industry
ISO 9001 质量管理体系,—,—,—,B,aerospace
ISO21448预期功能安全,—,—,—,B,automotive
ISO26262功能安全标准,—,—,—,B,automotive
ISSN 运动营养立场声明合集,ISSN,—,—,B,fitness_plan
In Defense of Food(为食物辩护),Michael Pollan,7.9,4.04,G,cooking_recipe
In the Blink of an Eye(眨眼之间·剪辑思维),Walter Murch,8.9,4.18,A,short_video
Influence(影响力),罗伯特·西奥迪尼,8.6,4.21,A/G,contract_review;cross_border;debate_speech;digital_office;dining_recommendation;dispute_rights
Influence: The Psychology of Persuasion,Robert Cialdini,—,4.21,G,car_purchase
Information Dashboard Design,Stephen Few,—,4.10,G,data_analytics
Inspired (2nd ed),Marty Cagan,—,4.27,G,product_manager;startup_advisory
Internal Combustion Engine Fundamentals,John B. Heywood,—,4.31,G,automotive
Internal Time(内部时间),Till Roenneberg,—,—,B,sleep_health
Introduction to Flight,J.D. Anderson,—,4.41,G,aerospace
J.D. Power 可靠性报告解读,—,—,—,B,car_purchase
Japanese Cooking: A Simple Art,辻静雄,—,4.42,G,cooking_recipe
JavaScript 高级程序设计(红宝书),Nicholas Zakas,—,—,B,program_management;ui_ux_review
Kitchen Confidential(厨房机密),Anthony Bourdain,8.4,4.13,G,cooking_recipe;dining_recommendation
Knitting Technology,David Spencer,—,—,B,textiles
Knock 'em Dead Resumes,Martin Yate,—,4.00,G,resume_interview
Kobold Guide to Board Game Design,—,—,—,B,board_game
LEED 绿色建筑认证体系参考指南,USGBC,—,—,B,construction_materials
LLM 推理优化(量化/蒸馏文档),—,—,—,B,prompt_engineering
LangChain / LlamaIndex 官方文档,—,—,—,B,prompt_engineering
LangGraph / AutoGen 官方文档,—,—,—,B,prompt_engineering
Larousse Gastronomique(法餐圣经),Prosper Montagné,—,4.47,G,cooking_recipe
Laws of UX,Jon Yablonski,—,4.34(1504人),G,ui_ux_review
Le Guide Culinaire(埃斯科菲耶厨艺指南),Auguste Escoffier,—,4.36,G,cooking_recipe;dining_recommendation
Lean Analytics(精益数据分析),Croll & Yoskovitz,8.4,4.05,G,data_analytics;ecommerce_ops;private_domain;product_manager;seo_growth;short_video
Light Science and Magic,Hunter 等,—,4.30,G,photography
Lightroom 调色圣经,—,—,—,B,photography
LinkedIn/领英优化,—,—,—,B,resume_interview
Listing 文案与转化优化,专著,—,—,B,cross_border
Logical Chess: Move by Move,Chernev,—,—,B,board_game
MRI诊断学,专著,—,—,B,family_doctor
Made to Break(计划性报废),Giles Slade,—,4.00,G,purchase_decision
Made to Stick(让创意更有粘性),Chip & Dan Heath,8.1,4.10,G,debate_speech;presentation_skills;seo_growth;short_video
Make It Stick(认知天性),"Brown, Roediger, McDaniel",—,4.13,G,child_education;study_abroad
Make Time(创造时间),Jake Knapp,—,4.07(2.5万),G,time_productivity
Making Faces,Kevyn Aucoin,—,4.46,G,skincare_beauty
Manhattan Prep 备考系列,Manhattan Prep,—,—,B,study_abroad
Margin of Safety(安全边际),塞思·卡拉曼,—,4.33,G,stock_trading
Marine Auxiliary Machinery,McGeorge,—,—,B,shipbuilding_marine
Marine Propellers and Propulsion,John Carlton,—,—,B,shipbuilding_marine
Mastering the Art of French Cooking,Julia Child,—,4.30,G,cooking_recipe
Material Design 设计规范,Google,—,—,B,ui_ux_review
Materials Science and Engineering: An Introduction,W.D. Callister,—,4.08,G,aerospace
Mayo Clinic Guide to a Healthy Pregnancy(妙佑医疗孕期指南),Mayo Clinic,—,4.19,G,family_doctor
Measure What Matters(这就是 OKR),John Doerr,7.9,4.10,G,data_analytics
Mechanics of Composite Materials,R.M. Jones,—,3.50,B,aerospace
Mechanics of Materials(材料力学),R.C. Hibbeler,—,4.18,G,construction_materials
Mindset(终身成长),Carol Dweck,—,4.09,G,child_education
Modernist Cuisine(现代主义烹调),Nathan Myhrvold,—,4.59,G,cooking_recipe;dining_recommendation
Molecular Biology of the Cell,Alberts 等,—,4.45,G,pharma_biomfg
Mostly Harmless Econometrics(基本无害的计量经济学),Angrist & Pischke,—,4.30,G,data_analytics
My System(我的棋艺),尼姆佐维奇,—,—,B,board_game
NSCA 体能训练概论,NSCA,—,—,B,nutrition_fitness
Naked Statistics(赤裸裸的统计学),Charles Wheelan,8.2,4.06,G,data_analytics
National Geographic Traveler 系列,国家地理,—,—,B,travel_deep
National Geographic 摄影指南,NatGeo,—,—,B,photography
Natural Language Processing with Transformers,Tunstall 等,—,4.40,G,prompt_engineering
Never Split the Difference,Chris Voss,—,4.34,G,car_purchase;contract_review;dispute_rights;private_domain;purchase_decision;rent_buy_house;resume_interview
Nonviolent Communication(非暴力沟通),Marshall Rosenberg,—,4.27,G,child_education;dispute_rights
Notes from a Small Island(英国本地视角),Bill Bryson,—,3.92(12万)*,G,travel_deep;travel_planning
OEKO-TEX Standard 100,OEKO-TEX,—,—,B,textiles
OSA 诊治指南,行业指南,—,—,B,sleep_health
OTA升级技术,—,—,—,B,automotive
OWASP Top 10 / ASVS,OWASP,—,—,B,program_management
OWASP Top 10 for LLM Applications,OWASP,—,—,B,prompt_engineering
Obviously Awesome(产品定位),April Dunford,—,4.24,G,startup_advisory
Ogilvy on Advertising(奥格威谈广告),大卫·奥格威,8.6,4.15,A/G,cross_border
On Photography,Susan Sontag,,4.06,,photography
On Writing Well(写作法宝),William Zinsser,8.6,4.22,A/G,debate_speech;seo_growth;study_abroad;writing_polish
On Writing the College Application Essay,Harry Bauld,—,3.96,B,learning_planning;study_abroad
On Writing(写作这回事 英文原版),Stephen King,—,4.34(32万+),G,writing_polish
OpenAI Prompt Engineering Guide(官方),OpenAI,—,—,B,prompt_engineering
Operating System Concepts(操作系统概念·恐龙书),Silberschatz 等,8.6,4.04,A/G,digital_office
Orbital Mechanics for Engineering Students,Curtis,—,—,B,aerospace
Overcoming Insomnia,Edinger & Carney,—,—,B,sleep_health
Overdressed(廉价时尚的代价),Elizabeth Cline,—,3.80,B,textiles
PCT与马德里国际注册流程,—,—,—,B,ip_patent
PET 父母效能训练,托马斯·戈登,—,—,B,mental_wellness
PMBOK 指南,PMI,—,—,B,learning_planning
PPT 设计思维,—,—,—,B,presentation_skills
Patternmaking for Fashion Design,Helen Armstrong,—,—,B,textiles
Patterns of Enterprise Application Architecture,Martin Fowler,—,4.07,G,program_management
Peak(刻意练习),Ericsson & Pool,—,4.13,G,child_education
Peak: Secrets from the New Science of Expertise,Ericsson & Pool,—,4.13,G,career_transition
Perry's Chemical Engineers' Handbook,Robert H. Perry 等,—,4.36,G,chemical_industry
Photoshop 数码照片处理,人民邮电,—,—,B,photography
Physical Properties of Textile Fibres,Morton & Hearle,—,—,B,textiles
Positioning(定位),特劳特/里斯,8.2,4.07,G,cross_border
Pounder's Marine Diesel Engines,Doug Woodyard,—,—,B,shipbuilding_marine
Power BI / Tableau 官方指南,专著,—,—,B,data_analytics
Practical English Usage,Michael Swan,—,—,B,language_learning
Practical Reliability Engineering,Patrick D.T. O'Connor,—,4.5(部分版)/3.88(4e),G,aerospace
Practical Ship Design,David Watson,—,—,B,shipbuilding_marine
Pre-Suasion(先发影响力),罗伯特·西奥迪尼,7.7,4.04,G,contract_review
Predictably Irrational(怪诞行为学),丹·艾瑞里,8.0,4.10,G,digital_office;dispute_rights;ecommerce_ops
Presentation Zen,Garr Reynolds,—,4.05,G,presentation_skills
Principles of Naval Architecture (PNA),SNAME,—,—,B,shipbuilding_marine
Probabilistic Robotics,Sebastian Thrun,—,—,B,automotive
Procedural Dermatology(操作皮肤科学),—,—,—,B,skincare_beauty
Prompt Caching 官方文档,OpenAI/Anthropic,—,—,B,prompt_engineering
Prompt Engineering for Generative AI,Phoenix & Taylor (O'Reilly),—,4.10,G,prompt_engineering
Properties of Concrete,A.M. Neville,—,—,B,construction_materials
Python Crash Course(Python 编程从入门到实践),Eric Matthes,9.1,4.36,A/G,data_analytics
Python for Data Analysis(利用 Python 进行数据分析),Wes McKinney,8.5,4.16,A/G,data_analytics
QS/THE/US News 官方排名方法论,各机构官方,—,—,B,study_abroad
Quiet Your Mind and Get to Sleep,Carney,—,—,B,sleep_health
R 语言实战,Robert Kabacoff,—,—,B,data_analytics
RAG 论文集(Lewis 2020 等),—,—,—,B,prompt_engineering
REACH 法规与限用物质清单,EU REACH,—,—,B,textiles
RF Microelectronics,Razavi,—,—,B,electronics_semiconductor
RHS 园艺百科,英国皇家园艺学会,—,—,B,gardening
ROS机器人操作系统,—,—,—,B,automotive
Range(跨界),David Epstein,—,4.07,G,resume_interview
Range: Why Generalists Triumph,David Epstein,—,4.11,G,career_transition
Ratio(配比),Michael Ruhlman,—,4.09,G,cooking_recipe
Read This If You Want to Take Great Photographs,Henry Carroll,—,4.20,G,photography
Read This If You Want to Take Great Photographs of People,Henry Carroll,—,4.20,G,photography
Read This...Photographs of People,Henry Carroll,—,4.20,G,photography
Reality Is Broken,Jane McGonigal,—,4.05,G,board_game
Refactoring,Martin Fowler,—,4.24,G,program_management
Refactoring UI,Adam Wathan & Steve Schoger,—,4.40,G,program_management;ui_ux_review
Remington: The Science and Practice of Pharmacy,—,—,—,B,pharma_biomfg
Renewable Energy,Godfrey Boyle,—,4.01,G,energy_power
Resonate,Nancy Duarte,—,4.11,G,presentation_skills
Responsible AI 框架,—,—,—,B,prompt_engineering
Rework(重来),Fried & Hansson,7.7,3.91,B,startup_advisory
Robert's Rules of Poker,—,—,—,B,board_game
Rocket Propulsion Elements,Sutton & Biblarz,—,4.49,G,aerospace
Rocket Surgery Made Easy,Steve Krug,—,4.14(4380人),G,ui_ux_review
Rook's Textbook of Dermatology,Rook,—,—,B,skincare_beauty
Rough Guides 系列,Rough Guides,—,—,B,travel_deep;travel_planning
Ruhlman's Twenty,Michael Ruhlman,—,4.34,G,cooking_recipe
SCRM 系统选型指南,—,—,—,B,private_domain
SEO All-in-One for Dummies,Bruce Clay 等,—,—,B,seo_growth
SEO实战密码,昝辉 Zac,—,—,B,seo_growth
SICP 计算机程序的构造和解释,Abelson & Sussman,—,—,B,program_management
SLAM技术,—,—,—,B,automotive
SME 采矿工程手册,SME,—,—,B,mining_extraction
SPIN 销售法,Neil Rackham,—,—,B,private_domain
SQL Performance Explained,Markus Winand,—,4.32,G,program_management
SQL 反模式,Bill Karwin,—,—,B,program_management
SQL 必知必会,Ben Forta,—,—,B,data_analytics
SQL 进阶教程,MICK,8.6,—,A,data_analytics
STAR 法则与成就量化,—,—,—,B,resume_interview
Salt(盐:一部历史),Mark Kurlansky,7.9,4.04,G,cooking_recipe
"Salt, Fat, Acid, Heat(盐,脂,酸,热)",萨明·诺斯拉特,—,4.39,G,cooking_recipe
Save the Cat(救猫咪),布莱克·斯奈德,8.4,4.01,G,short_video;writing_polish
Say Good Night to Insomnia,Gregg Jacobs,—,3.9(G),G,mental_wellness;sleep_health
Schema.org 结构化数据规范,Schema.org,—,—,B,seo_growth
Sculpting with Light,Allison Earnest,—,4.00,G,photography
Secrets of Sand Hill Road(风投的逻辑),Scott Kupor,—,4.24,G,startup_advisory
Seductive Interaction Design(诱导性交互设计),Stephen P. Anderson,—,4.08(1373人),G,ui_ux_review
Self-Editing for Fiction Writers(自我编辑),Renni Browne / Dave King,—,4.25(7183人),G,writing_polish
Serious Cryptography,Jean-Philippe Aumasson,—,4.40,G,program_management
Several Short Sentences About Writing,Verlyn Klinkenborg,—,4.13(2876人),G,writing_polish
Shark's Fin and Sichuan Pepper(鱼翅与花椒),扶霞·邓洛普,8.3,4.14,G,dining_recommendation
Shigley 机械工程设计,米斯克,—,—,B,machinery
Ship Construction,D.J. Eyres,—,—,B,shipbuilding_marine
Ship Hydrostatics and Stability,Adrian Biran,—,—,B,shipbuilding_marine
Ship Resistance and Propulsion,Molland 等,—,—,B,shipbuilding_marine
Ship Structural Analysis and Design,Owen Hughes,—,—,B,shipbuilding_marine
