书名,作者,归属场景
In Defense of Food(为食物辩护),Michael Pollan,cooking_recipe
In the Blink of an Eye(眨眼之间·剪辑思维),Walter Murch,short_video
Influence(影响力),罗伯特·西奥迪尼,contract_review;cross_border;debate_speech;digital_office;dining_recommendation;dispute_rights
Influence: The Psychology of Persuasion,Robert Cialdini,car_purchase
Information Dashboard Design,Stephen Few,data_analytics
Inspired (2nd ed),Marty Cagan,product_manager;startup_advisory
Internal Combustion Engine Fundamentals,John B. Heywood,automotive
Internal Time(内部时间),Till Roenneberg,sleep_health
Introduction to Flight,J.D. Anderson,aerospace
J.D. Power 可靠性报告解读,—,car_purchase
Japanese Cooking: A Simple Art,辻静雄,cooking_recipe
JavaScript 高级程序设计(红宝书),Nicholas Zakas,program_management;ui_ux_review
Kitchen Confidential(厨房机密),Anthony Bourdain,cooking_recipe;dining_recommendation
Knitting Technology,David Spencer,textiles
Knock 'em Dead Resumes,Martin Yate,resume_interview
Kobold Guide to Board Game Design,—,board_game
LEED 绿色建筑认证体系参考指南,USGBC,construction_materials
LLM 推理优化(量化/蒸馏文档),—,prompt_engineering
LangChain / LlamaIndex 官方文档,—,prompt_engineering
LangGraph / AutoGen 官方文档,—,prompt_engineering
Larousse Gastronomique(法餐圣经),Prosper Montagné,cooking_recipe
Laws of UX,Jon Yablonski,ui_ux_review
Le Guide Culinaire(埃斯科菲耶厨艺指南),Auguste Escoffier,cooking_recipe;dining_recommendation
Lean Analytics(精益数据分析),Croll & Yoskovitz,data_analytics;ecommerce_ops;private_domain;product_manager;seo_growth;short_video
Light Science and Magic,Hunter 等,photography
Lightroom 调色圣经,—,photography
LinkedIn/领英优化,—,resume_interview
Listing 文案与转化优化,专著,cross_border
Logical Chess: Move by Move,Chernev,board_game
MRI诊断学,专著,family_doctor
Made to Break(计划性报废),Giles Slade,purchase_decision
Made to Stick(让创意更有粘性),Chip & Dan Heath,debate_speech;presentation_skills;seo_growth;short_video
Make It Stick(认知天性),"Brown, Roediger, McDaniel",child_education;study_abroad
Make Time(创造时间),Jake Knapp,time_productivity
Making Faces,Kevyn Aucoin,skincare_beauty
Manhattan Prep 备考系列,Manhattan Prep,study_abroad
Margin of Safety(安全边际),塞思·卡拉曼,stock_trading
Marine Auxiliary Machinery,McGeorge,shipbuilding_marine
Marine Propellers and Propulsion,John Carlton,shipbuilding_marine
Mastering the Art of French Cooking,Julia Child,cooking_recipe
Material Design 设计规范,Google,ui_ux_review
Materials Science and Engineering: An Introduction,W.D. Callister,aerospace
Mayo Clinic Guide to a Healthy Pregnancy(妙佑医疗孕期指南),Mayo Clinic,family_doctor
Measure What Matters(这就是 OKR),John Doerr,data_analytics
Mechanics of Composite Materials,R.M. Jones,aerospace
Mechanics of Materials(材料力学),R.C. Hibbeler,construction_materials
Mindset(终身成长),Carol Dweck,child_education
Modernist Cuisine(现代主义烹调),Nathan Myhrvold,cooking_recipe;dining_recommendation
Molecular Biology of the Cell,Alberts 等,pharma_biomfg
Mostly Harmless Econometrics(基本无害的计量经济学),Angrist & Pischke,data_analytics
My System(我的棋艺),尼姆佐维奇,board_game
NSCA 体能训练概论,NSCA,nutrition_fitness
Naked Statistics(赤裸裸的统计学),Charles Wheelan,data_analytics
National Geographic Traveler 系列,国家地理,travel_deep
National Geographic 摄影指南,NatGeo,photography
Natural Language Processing with Transformers,Tunstall 等,prompt_engineering
Never Split the Difference,Chris Voss,car_purchase;contract_review;dispute_rights;private_domain;purchase_decision;rent_buy_house;resume_interview
Nonviolent Communication(非暴力沟通),Marshall Rosenberg,child_education;dispute_rights
Notes from a Small Island(英国本地视角),Bill Bryson,travel_deep;travel_planning
OEKO-TEX Standard 100,OEKO-TEX,textiles
OSA 诊治指南,行业指南,sleep_health
OTA升级技术,—,automotive
OWASP Top 10 / ASVS,OWASP,program_management
OWASP Top 10 for LLM Applications,OWASP,prompt_engineering
Obviously Awesome(产品定位),April Dunford,startup_advisory
Ogilvy on Advertising(奥格威谈广告),大卫·奥格威,cross_border
On Photography,Susan Sontag,photography
On Writing Well(写作法宝),William Zinsser,debate_speech;seo_growth;study_abroad;writing_polish
On Writing the College Application Essay,Harry Bauld,learning_planning;study_abroad
On Writing(写作这回事 英文原版),Stephen King,writing_polish
OpenAI Prompt Engineering Guide(官方),OpenAI,prompt_engineering
Operating System Concepts(操作系统概念·恐龙书),Silberschatz 等,digital_office
Orbital Mechanics for Engineering Students,Curtis,aerospace
Overcoming Insomnia,Edinger & Carney,sleep_health
Overdressed(廉价时尚的代价),Elizabeth Cline,textiles
PCT与马德里国际注册流程,—,ip_patent
PET 父母效能训练,托马斯·戈登,mental_wellness
PMBOK 指南,PMI,learning_planning
PPT 设计思维,—,presentation_skills
Patternmaking for Fashion Design,Helen Armstrong,textiles
Patterns of Enterprise Application Architecture,Martin Fowler,program_management
Peak(刻意练习),Ericsson & Pool,child_education
Peak: Secrets from the New Science of Expertise,Ericsson & Pool,career_transition
Perry's Chemical Engineers' Handbook,Robert H. Perry 等,chemical_industry
Photoshop 数码照片处理,人民邮电,photography
Physical Properties of Textile Fibres,Morton & Hearle,textiles
Positioning(定位),特劳特/里斯,cross_border
Pounder's Marine Diesel Engines,Doug Woodyard,shipbuilding_marine
Power BI / Tableau 官方指南,专著,data_analytics
Practical English Usage,Michael Swan,language_learning
Practical Reliability Engineering,Patrick D.T. O'Connor,aerospace
Practical Ship Design,David Watson,shipbuilding_marine
Pre-Suasion(先发影响力),罗伯特·西奥迪尼,contract_review
Predictably Irrational(怪诞行为学),丹·艾瑞里,digital_office;dispute_rights;ecommerce_ops
Presentation Zen,Garr Reynolds,presentation_skills
Principles of Naval Architecture (PNA),SNAME,shipbuilding_marine
Probabilistic Robotics,Sebastian Thrun,automotive
Procedural Dermatology(操作皮肤科学),—,skincare_beauty
Prompt Caching 官方文档,OpenAI/Anthropic,prompt_engineering
Prompt Engineering for Generative AI,Phoenix & Taylor (O'Reilly),prompt_engineering
Properties of Concrete,A.M. Neville,construction_materials
Python Crash Course(Python 编程从入门到实践),Eric Matthes,data_analytics
Python for Data Analysis(利用 Python 进行数据分析),Wes McKinney,data_analytics
QS/THE/US News 官方排名方法论,各机构官方,study_abroad
Quiet Your Mind and Get to Sleep,Carney,sleep_health
R 语言实战,Robert Kabacoff,data_analytics
RAG 论文集(Lewis 2020 等),—,prompt_engineering
REACH 法规与限用物质清单,EU REACH,textiles
RF Microelectronics,Razavi,electronics_semiconductor
RHS 园艺百科,英国皇家园艺学会,gardening
ROS机器人操作系统,—,automotive
Range(跨界),David Epstein,resume_interview
Range: Why Generalists Triumph,David Epstein,career_transition
Ratio(配比),Michael Ruhlman,cooking_recipe
Read This If You Want to Take Great Photographs,Henry Carroll,photography
Read This If You Want to Take Great Photographs of People,Henry Carroll,photography
Read This...Photographs of People,Henry Carroll,photography
Reality Is Broken,Jane McGonigal,board_game
Refactoring,Martin Fowler,program_management
Refactoring UI,Adam Wathan & Steve Schoger,program_management;ui_ux_review
Remington: The Science and Practice of Pharmacy,—,pharma_biomfg
Renewable Energy,Godfrey Boyle,energy_power
Resonate,Nancy Duarte,presentation_skills
Responsible AI 框架,—,prompt_engineering
Rework(重来),Fried & Hansson,startup_advisory
Robert's Rules of Poker,—,board_game
Rocket Propulsion Elements,Sutton & Biblarz,aerospace
Rocket Surgery Made Easy,Steve Krug,ui_ux_review
Rook's Textbook of Dermatology,Rook,skincare_beauty
Rough Guides 系列,Rough Guides,travel_deep;travel_planning
Ruhlman's Twenty,Michael Ruhlman,cooking_recipe
SCRM 系统选型指南,—,private_domain
SEO All-in-One for Dummies,Bruce Clay 等,seo_growth
SEO实战密码,昝辉 Zac,seo_growth
SICP 计算机程序的构造和解释,Abelson & Sussman,program_management
SLAM技术,—,automotive
SME 采矿工程手册,SME,mining_extraction
SPIN 销售法,Neil Rackham,private_domain
SQL Performance Explained,Markus Winand,program_management
SQL 反模式,Bill Karwin,program_management
SQL 必知必会,Ben Forta,data_analytics
SQL 进阶教程,MICK,data_analytics
STAR 法则与成就量化,—,resume_interview
Salt(盐:一部历史),Mark Kurlansky,cooking_recipe
"Salt, Fat, Acid, Heat(盐,脂,酸,热)",萨明·诺斯拉特,cooking_recipe
Save the Cat(救猫咪),布莱克·斯奈德,short_video;writing_polish
Say Good Night to Insomnia,Gregg Jacobs,mental_wellness;sleep_health
Schema.org 结构化数据规范,Schema.org,seo_growth
Sculpting with Light,Allison Earnest,photography
Secrets of Sand Hill Road(风投的逻辑),Scott Kupor,startup_advisory
Seductive Interaction Design(诱导性交互设计),Stephen P. Anderson,ui_ux_review
Self-Editing for Fiction Writers(自我编辑),Renni Browne / Dave King,writing_polish
Serious Cryptography,Jean-Philippe Aumasson,program_management
Several Short Sentences About Writing,Verlyn Klinkenborg,writing_polish
Shark's Fin and Sichuan Pepper(鱼翅与花椒),扶霞·邓洛普,dining_recommendation
Shigley 机械工程设计,米斯克,machinery
Ship Construction,D.J. Eyres,shipbuilding_marine
Ship Hydrostatics and Stability,Adrian Biran,shipbuilding_marine
Ship Resistance and Propulsion,Molland 等,shipbuilding_marine
Ship Structural Analysis and Design,Owen Hughes,shipbuilding_marine
Show Me the Numbers,Stephen Few,data_analytics;presentation_skills
Show Your Work!,Austin Kleon,resume_interview;short_video
Site Reliability Engineering(Google SRE),Betsy Beyer 等,program_management
Skincare(护肤科学),Caroline Hirons,skincare_beauty
Smart Choices(决策的艺术),Hammond 等,data_analytics
So Good They Can't Ignore You,Cal Newport,career_transition;resume_interview
Software Architecture in Practice,Bass 等,program_management
Space Mission Analysis and Design (SMAD),Wertz & Larson,aerospace
Spark Joy 整理魔法2,近藤麻理惠,home_organize
Spark 快速大数据分析,专著,data_analytics
Sprint (设计冲刺),Jake Knapp,product_manager
Steering the Craft,Ursula K. Le Guin,writing_polish
Stein on Writing(斯坦因谈写作),Sol Stein,writing_polish
Story(故事 英文原版),Robert McKee,writing_polish
Storytelling with Data(用数据讲故事),Cole Knaflic,data_analytics;presentation_skills;product_manager
Strapdown Inertial Navigation Technology,Titterton,aerospace
Structural Analysis,R.C. Hibbeler,construction_materials
Structures: Or Why Things Don't Fall Down(结构是什么),J.E. Gordon,construction_materials
Stuff Matters 迷人的材料,马克·米奥多尼克,metallurgy
Stuff Matters(迷人的材料),Mark Miodownik,construction_materials;metallurgy
Subsea Engineering Handbook,Yong Bai,shipbuilding_marine
TED Talks(演讲的力量),Chris Anderson,debate_speech
TEFAF/巴塞尔艺术市场报告,—,collectibles
TOEFL iBT 官方指南,ETS 官方,study_abroad
TOEFL 官方指南(OG),ETS,language_learning;learning_planning
TS16949质量体系,—,automotive
Tableau 数据可视化实战,专著,data_analytics
Talk Like TED(像 TED 一样演讲),Carmine Gallo,debate_speech;presentation_skills
Textiles(纺织品),Sara Kadolph,textiles
Thank You for Arguing(谢谢你的争论),Jay Heinrichs,debate_speech
Thanks for the Feedback,Stone & Heen,presentation_skills
The 2-Hour Job Search,Steve Dalton,resume_interview
The 7 Habits of Highly Effective People,Stephen Covey,time_productivity
The Adobe Photoshop Lightroom Classic Book,Scott Kelby,photography
The Alignment Problem,Brian Christian,prompt_engineering
The Art of Game Design: A Book of Lenses,Jesse Schell,board_game
The Art of Gathering,Priya Parker,board_game
The Art of Public Speaking(演讲的艺术),Stephen Lucas,debate_speech
The Art of Rhetoric(修辞术),亚里士多德,debate_speech
The Art of SEO,Eric Enge 等,seo_growth
The Art of Software Security Assessment,Dowd 等,program_management
The Black Swan(黑天鹅),纳西姆·塔勒布,contract_review
The Body Keeps the Score(身体从未忘记原版),Bessel van der Kolk,family_doctor
The Bogleheads' Guide to Investing,Larimore 等,tax_insurance
The Book of Why(为什么·因果),Judea Pearl,data_analytics
The Botany of Desire(植物的欲望),迈克尔·波伦,modern_agriculture
The Box(集装箱改变世界),Marc Levinson,cross_border;shipbuilding_marine
The Checklist Manifesto(清单革命),Atul Gawande,family_doctor;time_productivity
The China Study(救命饮食),T. Colin Campbell,chronic_disease
The Circadian Code(昼夜节律密码),Satchin Panda,sleep_health
The College Application Essay,College Board,learning_planning
The Copywriter's Handbook,Robert Bly,cross_border;writing_polish
The Culture Map(文化地图),埃琳·迈耶,cross_border
The Data Warehouse Toolkit(数据仓库工具箱),Ralph Kimball,data_analytics
The Death and Life of Great American Cities,Jane Jacobs,construction_materials;rent_buy_house
The Design of Everyday Things(设计心理学),Donald Norman,ecommerce_ops;machinery;product_manager;purchase_decision;ui_ux_review
The Digital Photography Book,Scott Kelby,photography
The Disappearing Spoon 消失的勺子,萨姆·基恩,metallurgy
The Disappearing Spoon(消失的勺子),萨姆·基恩,metallurgy
The Elements of Style(风格的要素),Strunk & White,debate_speech;writing_polish
The Finite Element Method,Zienkiewicz,aerospace
The Flavor Bible(风味圣经),Page & Dornenburg,cooking_recipe
The Flavour Thesaurus(风味词典),Niki Segnit,cooking_recipe
The Food Lab,J. Kenji López-Alt,cooking_recipe
The Food of Sichuan(川菜),扶霞·邓洛普,cooking_recipe;dining_recommendation
The French Laundry Cookbook,Thomas Keller,cooking_recipe;dining_recommendation
The Functional Art(可视化之美·功能艺术),Alberto Cairo,data_analytics
The Gatekeepers,Jacques Steinberg,study_abroad
The Gene(基因传),Siddhartha Mukherjee,family_doctor;pharma_biomfg
The Geography of Bliss(各国文化幸福观),Eric Weiner,travel_deep;travel_planning
"The Goal(目标,精益/进度管理经典)",Eliyahu Goldratt,construction_materials;cross_border;ecommerce_ops
The Great Influenza(大流感),John M. Barry,family_doctor
The Happiest Baby on the Block,哈维·卡普,parenting_baby
The Hero with a Thousand Faces(千面英雄),约瑟夫·坎贝尔,short_video
The Inner Game of Music,巴里·格林,music_learning
The Innovator's Dilemma,Clayton Christensen,career_transition
The Innovators(创新者),Walter Isaacson,digital_office
The Knot 婚礼策划完全手册,The Knot,wedding_planning
The Lady Tasting Tea(女士品茶),David Salsburg,data_analytics
The Law(法律),巴斯夏(Frédéric Bastiat),contract_review
The Lean Startup(精益创业),埃里克·莱斯,data_analytics;ecommerce_ops;product_manager;seo_growth
The Little Book of Common Sense Investing(共同基金常识),John Bogle,tax_insurance
The Little Book of Skin Care(韩式护肤),Charlotte Cho,skincare_beauty
The Millionaire Next Door,Stanley & Danko,purchase_decision
The Mom Test,Rob Fitzpatrick,product_manager;seo_growth;startup_advisory
The New Science of Strong Materials(强材料新科学),J.E. Gordon,construction_materials
The Non-Designer's Design Book,Robin Williams,presentation_skills
The Now Habit 战胜拖延,尼尔·菲奥里,grad_civil_exam
The Now Habit(战拖),Neil Fiore,time_productivity
The Omnivore's Dilemma(杂食者的两难),Michael Pollan,dining_recommendation
The One Thing(最重要的事只有一件),Gary Keller,time_productivity
The One-Straw Revolution(一根稻草的革命),Masanobu Fukuoka,agriculture
The Other End of the Leash,Patricia McConnell,pet_care
The Paradox of Choice(选择的悖论),Barry Schwartz,digital_office
The Phoenix Project (凤凰项目),Gene Kim 等,product_manager;program_management
The Photographer's Eye,Michael Freeman,photography
The Power of Habit(习惯的力量),Charles Duhigg,time_productivity
The Pragmatic Programmer,Hunt & Thomas,program_management
